_id,id,topic,question,options[0],options[1],options[2],options[3],answer
681da7d6c9e12ad7969161d0,40,validation,Which method ensures all fields are valid before form submission?,Run a validation function onSubmit,Use alert(),Reload page,Remove all inputs,Run a validation function onSubmit
681da7d6c9e12ad7969161d1,41,validation,Which type of hook can be used to validate when the value changes?,useEffect,useMemo,useCallback,useLayoutEffect,useEffect
681da7d6c9e12ad7969161d2,42,validation,How can you disable the submit button if errors exist?,Track error state and use disabled prop,Use CSS only,Hide the button,Use alert,Track error state and use disabled prop
681da7d6c9e12ad7969161d3,43,validation,When is it appropriate to show all errors at once?,After form submission,Before user types,After mounting,After form reset,After form submission
681da7d6c9e12ad7969161d4,44,validation,How should errors be cleared when the user fixes the field?,Update error state when value changes,Reload page,Use alert,Clear all state manually,Update error state when value changes
681da7d6c9e12ad7969161d5,45,validation,What is a good default value for an error message in state?,Empty string,true,false,null,Empty string
681da7d6c9e12ad7969161d6,46,validation,How can you ensure the user sees the first error?,Scroll to the field or focus it,Highlight the submit button,Console log,Use alert,Scroll to the field or focus it
681da7d6c9e12ad7969161d7,47,validation,What’s the best way to show a success message after validation passes?,Use conditional rendering,Console log only,Alert always,Disable the form,Use conditional rendering
681da7d6c9e12ad7969161d8,48,validation,Why is validation important in forms?,To ensure data is complete and correct,To slow down the user,To beautify UI,To increase page size,To ensure data is complete and correct
681da7d6c9e12ad7969161d9,49,validation,What is a good structure for storing both form data and validation messages?,"Two separate states: one for data, one for errors",Single boolean for all,Use refs only,Use alert,"Two separate states: one for data, one for errors"
681da7d6c9e12ad7969161da,50,validation,How do you avoid validating untouched fields?,Track 'touched' state and validate only if touched,Validate all fields by default,Skip validation always,Use useMemo,Track 'touched' state and validate only if touched
681da7f8c9e12ad7969161dc,51,CRUD,Which hook is typically used to store form data in a functional component?,useState,useEffect,useMemo,useReducer,useState
681da7f8c9e12ad7969161dd,52,CRUD,How do you handle form submission in React functional components?,Use event.preventDefault() and update state,Use window.location.reload(),Submit via an API call only,Reset form elements,Use event.preventDefault() and update state
681da7f8c9e12ad7969161de,53,CRUD,What is the purpose of useEffect in CRUD operations?,To manage side-effects like fetching or updating data,To store form data,To handle button clicks,To display UI components,To manage side-effects like fetching or updating data
681da7f8c9e12ad7969161df,54,CRUD,What is a common approach to making an API call after form submission?,Use useEffect or async/await inside the submit handler,Use useMemo,Submit the form directly,Use an event handler only,Use useEffect or async/await inside the submit handler
681da7f8c9e12ad7969161e0,55,CRUD,What hook would you use to update the state of a list of data after a successful API call?,useState,useEffect,useRef,useCallback,useState
681da7f8c9e12ad7969161e1,56,CRUD,How can you conditionally render a success message after a successful API update?,Track success state and conditionally render in JSX,Hide the button,Redirect to another page,Use alert,Track success state and conditionally render in JSX
681da7f8c9e12ad7969161e2,57,CRUD,How do you update form values dynamically in React?,Use setState inside an event handler,Use refs,Use componentDidUpdate,Only use default values,Use setState inside an event handler
681da7f8c9e12ad7969161e3,58,CRUD,When should you use useEffect for CRUD operations?,To fetch or update data when the component mounts or updates,Only when the form is first submitted,Only when the page reloads,To set initial form values,To fetch or update data when the component mounts or updates
681da7f8c9e12ad7969161e4,59,CRUD,What is a good strategy for handling errors during a fetch request in a form?,Display an error message conditionally based on state,Ignore errors,Always show alert,Reload the page,Display an error message conditionally based on state
681da7f8c9e12ad7969161e5,60,CRUD,What’s the best approach for populating form fields with existing data during editing?,Use useEffect to fetch data on component mount,Manually set input values,Use window.location.reload(),Pass data directly into the form component,Use useEffect to fetch data on component mount
681da7f8c9e12ad7969161e6,61,CRUD,What do you need to ensure when creating a delete button for a list of items?,Properly handle the delete request and update the state,Just remove the button from UI,Only disable the button,Redirect to another page,Properly handle the delete request and update the state
681da7f8c9e12ad7969161e7,62,CRUD,How do you implement optimistic UI updates in CRUD operations?,Update the UI before confirming the backend operation,Wait for the API to respond and then update UI,Ignore the backend,Always show loading spinners,Update the UI before confirming the backend operation
681da7f8c9e12ad7969161e8,63,CRUD,Which function would you typically use to handle form submissions?,A submit function that uses event.preventDefault(),A get function,A redirect function,A window function,A submit function that uses event.preventDefault()
681da7f8c9e12ad7969161e9,64,CRUD,How can you conditionally display a loading spinner while waiting for a form submission?,Use loading state and conditionally render,Use console.log,Always hide UI elements,Only use useEffect,Use loading state and conditionally render
681da7f8c9e12ad7969161ea,65,CRUD,How can you reset a form after successful submission?,Clear the state that holds the form data,Reload the page,Hide the form,Use setInterval,Clear the state that holds the form data
681da7f8c9e12ad7969161eb,66,CRUD,What is the purpose of using async/await in CRUD operations?,To handle asynchronous operations like fetching or submitting data,To trigger re-renders,To avoid the use of useState,To make the component unresponsive,To handle asynchronous operations like fetching or submitting data
681da7f8c9e12ad7969161ec,67,CRUD,Which React hook is useful for fetching data from an API on initial render?,useEffect,useMemo,useState,useReducer,useEffect
681da7f8c9e12ad7969161ed,68,CRUD,How do you manage API responses and update form state?,Store data in state and render based on that,Only log responses,Wait for the page to reload,Use console.log to print responses,Store data in state and render based on that
681da7f8c9e12ad7969161ee,69,CRUD,What is the best way to handle form data in state for a multi-field form?,"Store it as an object, with each field as a key-value pair",Store it as an array,Use multiple useState calls,Only use useRef,"Store it as an object, with each field as a key-value pair"
681da7f8c9e12ad7969161ef,70,CRUD,What is the first step in handling an API error after a form submission?,Display an error message in the UI,Log the error to the console,Reload the form,Disable the submit button,Display an error message in the UI
681da7f8c9e12ad7969161f0,71,CRUD,How do you update the UI optimistically in a delete operation?,Remove the item from the UI before confirming with the backend,Only show loading state,Wait for the API response,Always disable the delete button,Remove the item from the UI before confirming with the backend
681da7f8c9e12ad7969161f1,72,CRUD,How do you handle API responses for creating new items in a form?,Add the newly created item to the state after a successful response,Log the response,Redirect the user,Reload the page,Add the newly created item to the state after a successful response
681da7f8c9e12ad7969161f2,73,CRUD,What’s the best way to handle changes to a large form with multiple inputs?,Use a single object state to track all values,Use separate state for each field,Use useRef for every field,Avoid useState,Use a single object state to track all values
681da7f8c9e12ad7969161f3,74,CRUD,How do you conditionally disable a submit button in a form?,Track form validity and disable based on error state,Always disable the button,Hide the button,Use setTimeout,Track form validity and disable based on error state
681da7f8c9e12ad7969161f4,75,CRUD,How can you prevent an unnecessary re-render after a successful form submission?,Update state only when necessary,Always update all states,Use useRef for all state management,Use an external library to manage form state,Update state only when necessary
